name,gender
kajar,f
ajeet,m
seeba,f
kalpna,f
manira,f
veer,m
rolly,m
frra,f
pardeshi,m
meghana,f
mehbob,m
tapas,f
indra,f
mithlesh,f
najma,f
sushhmita,f
harjit,f
davinder,m
sheikh,m
mooldan,m
gurupreet,f
kunal,m
janvi,f
bhagwati,m
kirshanpal,m
mustak,m
paramshela,f
gurpreet,f
prshant,m
choturam,m
nilam,f
sulekha,f
anish,m
rajkumari,f
sanjana,f
kesha,f
champa,f
jeevan,m
monupal,m
pancu,m
pamjeet,f
suntia,f
rumeet,m
imaman,m
sadabrij,m
phakir,m
ramkumar,m
punit,m
saif,m
rishabh,m
chameli,f
radhey,m
asruddin,m
pooranmal,m
moh,m
meghashayam,m
nasruddin,m
buddhi,m
shaila,f
mahesh,m
vikesh,m
rajenderi,f
nrotam,m
jasim,m
shavitri,f
kanika,f
rambiri,f
mahima,f
subhadra,f
janki,f
babuddin,m
ratni,f
bhagat,m
shamim,m
heera,m
aaenab,m
upender,m
ramesh,f
mehnaz,f
mahammd,m
bilal,m
mahendra,m
guluram,m
vanshu,m
duraga,m
bijendra,m
bavita,f
jakir,m
radheshyam,m
babalu,m
tinvkal,f
irtu,f
varsa,f
hariom,m
mintu,f
nayeem,m
bhud,m
farina,f
ranu,f
sahida,f
madhuni,f
rajkali,f
udaiy,m
kuso,f
narsa,m
gurucharan,m
anjuman,f
mubarik,m
zaki,m
girraj,m
kirshn,m
pushpawati,f
muntiyaj,m
aashma,f
anoop,m
bunty,f
suman,m
sajjan,m
dilshad,m
senser,m
aasha,f
susmita,f
gopal,f
mehak,f
shmejha,f
manver,m
partima,f
rafat,f
jassi,f
rajnish,m
rma,m
tarbez,m
salman,m
dasharath,m
shaikh,m
altmash,m
soni,m
man,m
sanjeet,m
anokha,m
shayamveer,m
pari,f
deepi,m
deepti,f
gurnam,m
lakshya,m
faraz,m
basant,m
mina,f
shipra,f
surya,m
surendra,m
heeera,m
mahfuj,m
sujeet,f
hem,m
amrin,f
kohinoor,f
rizvana,f
sushila,m
ranjna,f
safiya,f
sujit,m
matadeen,m
kulsum,f
devinder,m
mukkesh,m
kesar,f
suneel,m
beena,f
gaura,f
umang,m
mayuri,f
hini,f
jasoda,f
insaf,m
leela,f
vijaypal,m
samad,m
rinku,f
imran,m
jhawar,m
madhvi,f
geet,f
pavnesh,m
om,m
surendr,m
jag,m
ramswroop,m
kiran,m
devendra,m
gayatri,f
silender,m
babali,f
rajender,m
